EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,DistanceFromHome_KM,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,OverTime,StockOptionLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,Attrition,Reason_Category,Exit_Reason_HR_Recorded,Retention_Attempted,Retention_Action_Taken,Retained,Retention_Outcome_Reason
EMP00015,41,Female,Married,R&D,Research Scientist,Human Resources,1,Travel_Frequently,2,59129,16,23,5,3,2,2,3,No,0,3,3,3,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00016,37,Male,Divorced,R&D,Data Scientist,Other,4,Non-Travel,3,70296,14,19,1,0,1,5,3,Yes,0,4,2,3,4,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00017,52,Male,Married,Marketing,Content Strategist,Marketing,2,Non-Travel,3,101555,11,34,4,3,4,6,0,No,0,2,1,4,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00018,39,Female,Divorced,Marketing,Marketing Manager,Computer Science,5,Travel_Frequently,8,116962,14,21,3,2,2,5,0,No,2,1,1,3,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00019,31,Male,Single,Finance,Accountant,Other,1,Travel_Frequently,4,99184,12,13,0,0,0,0,1,No,2,3,2,1,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00020,34,Male,Single,Operations,Operations Executive,Marketing,4,Travel_Rarely,8,113926,11,16,4,3,2,1,2,No,1,1,4,4,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00021,31,Female,Married,IT,Software Engineer,Other,5,Non-Travel,5,59153,11,15,7,2,3,7,2,No,0,3,3,4,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00022,43,Male,Divorced,Human Resources,Recruiter,Medical,5,Travel_Rarely,2,95176,17,25,1,0,1,0,4,Yes,2,1,3,3,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00023,36,Female,Single,Operations,Logistics Coordinator,Human Resources,4,Travel_Frequently,1,64260,18,18,4,2,1,6,2,Yes,1,1,4,1,4,4,4,No,,,NA,NA,NA,Employee did not resign
EMP00024,50,Male,Divorced,R&D,ML Engineer,Human Resources,5,Travel_Frequently,7,60467,14,32,4,3,2,4,0,No,2,4,1,1,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00025,27,Male,Divorced,Operations,Operations Executive,Human Resources,5,Travel_Rarely,3,65304,11,15,6,4,1,6,0,No,1,2,4,4,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00026,29,Male,Married,IT,System Analyst,Marketing,5,Non-Travel,1,71532,17,11,0,0,0,5,4,No,1,3,3,4,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00027,32,Male,Divorced,Operations,Operations Manager,Business,4,Travel_Rarely,3,88478,11,14,3,1,0,5,4,No,0,2,3,1,3,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00028,25,Female,Married,Sales,Sales Executive,Technical Degree,1,Travel_Rarely,4,83947,12,19,11,6,1,6,2,No,0,3,3,3,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00029,33,Male,Divorced,R&D,Research Scientist,Other,1,Travel_Rarely,2,59033,11,15,5,4,3,5,5,Yes,2,3,4,4,2,1,3,Yes,Work-Life Balance,Struggled to balance work demands with family time.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00030,26,Male,Single,Operations,Operations Manager,Other,5,Travel_Rarely,7,12606,11,9,1,0,1,2,2,No,2,3,4,4,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00031,34,Female,Single,R&D,Data Scientist,Technical Degree,3,Travel_Frequently,9,16240,13,16,6,3,1,2,2,No,1,3,1,1,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00032,44,Female,Married,Finance,Finance Manager,Other,1,Travel_Rarely,1,41446,20,26,2,1,1,4,5,No,1,2,4,3,4,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00033,20,Male,Married,R&D,Laboratory Technician,Life Sciences,5,Travel_Rarely,1,81284,21,16,8,3,0,5,5,No,1,4,3,1,1,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00034,31,Male,Single,IT,System Analyst,Medical,1,Non-Travel,1,77070,15,13,1,0,1,0,0,No,0,2,4,3,1,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00035,26,Male,Married,R&D,Research Scientist,Medical,5,Travel_Rarely,8,62282,24,10,8,5,2,7,2,No,1,3,3,3,2,3,4,No,,,NA,NA,NA,Employee did not resign
EMP00036,28,Female,Single,R&D,Data Scientist,Marketing,5,Travel_Rarely,1,55685,12,10,1,0,0,1,5,Yes,1,4,2,4,3,1,3,Yes,Compensation and Benefits,Employee felt underpaid compared to market standards.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00037,32,Male,Married,IT,DevOps Engineer,Computer Science,2,Travel_Frequently,5,70931,12,14,5,4,2,2,5,No,2,1,2,4,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00038,36,Female,Married,Sales,Sales Executive,Computer Science,4,Travel_Rarely,1,89138,11,18,1,0,0,3,5,Yes,3,4,4,3,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00039,35,Male,Divorced,Finance,Finance Manager,Medical,1,Travel_Frequently,10,44712,16,18,11,4,0,7,1,No,1,3,2,2,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00040,38,Female,Single,Finance,Finance Manager,Technical Degree,2,Travel_Rarely,11,26234,14,20,5,4,1,7,1,No,0,3,3,4,1,3,4,No,,,NA,NA,NA,Employee did not resign
EMP00041,32,Male,Married,R&D,ML Engineer,Marketing,3,Travel_Rarely,2,87196,17,14,5,3,5,7,3,Yes,1,4,4,4,4,2,3,Yes,Work-Life Balance,Reported burnout due to high workload over long periods.,Yes,Flexible Work,Yes,Action directly addressed the root cause of dissatisfaction
EMP00042,26,Male,Married,Finance,Financial Analyst,Medical,1,Travel_Rarely,1,87269,21,8,3,1,1,3,2,No,2,2,4,4,2,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00043,39,Male,Single,Marketing,Marketing Manager,Technical Degree,2,Travel_Rarely,20,40396,11,21,3,1,3,1,4,No,2,2,3,4,4,4,3,Yes,Career Growth and Promotion,Left to take up a more senior designation elsewhere.,Yes,Salary Hike,No,Action didn't address the actual root cause
EMP00044,36,Female,Single,Finance,Accountant,Computer Science,1,Travel_Rarely,2,23165,19,18,0,0,0,2,1,No,1,4,4,3,3,2,4,Yes,Compensation and Benefits,Employee felt underpaid compared to market standards.,Yes,Salary Hike,Yes,Action directly addressed the root cause of dissatisfaction
EMP00045,20,Male,Married,R&D,ML Engineer,Human Resources,4,Travel_Rarely,1,61263,11,8,2,0,0,6,0,Yes,1,3,3,4,3,3,4,Yes,Work-Life Balance,Reported burnout due to high workload over long periods.,Yes,Flexible Work,Yes,Action directly addressed the root cause of dissatisfaction
EMP00046,40,Female,Single,Human Resources,HR Manager,Technical Degree,3,Travel_Frequently,3,113642,11,22,0,0,0,5,5,No,2,3,3,2,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00047,30,Male,Divorced,R&D,Research Scientist,Business,1,Travel_Frequently,8,42252,12,12,0,0,0,0,5,Yes,2,1,4,1,2,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00048,32,Male,Single,Sales,Account Manager,Medical,2,Travel_Frequently,13,61286,14,14,0,0,0,6,0,No,2,3,4,1,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00049,43,Male,Married,Sales,Sales Executive,Medical,5,Travel_Frequently,3,91081,18,25,9,6,0,1,0,No,0,4,2,4,1,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00050,27,Male,Married,R&D,Research Scientist,Business,3,Travel_Frequently,1,41984,21,9,1,0,1,0,1,Yes,1,3,4,4,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00051,47,Male,Married,R&D,Data Scientist,Computer Science,2,Travel_Rarely,10,60541,16,29,0,0,0,2,0,No,0,4,4,3,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00052,22,Female,Married,Marketing,Marketing Manager,Business,1,Travel_Rarely,10,70627,11,8,5,1,3,0,2,No,1,3,4,4,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00053,20,Male,Single,Sales,Account Manager,Technical Degree,5,Non-Travel,4,91716,17,5,5,1,0,2,2,No,3,2,1,1,1,4,3,Yes,Career Growth and Promotion,Left for a brand name company on the resume.,Yes,Flexible Work,No,Action didn't address the actual root cause
EMP00054,45,Female,Single,Human Resources,HR Executive,Technical Degree,3,Travel_Rarely,11,92259,16,27,6,4,1,7,1,No,2,3,4,4,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00055,35,Female,Divorced,Human Resources,HR Executive,Human Resources,5,Travel_Frequently,1,41911,13,17,9,2,2,3,3,No,1,3,1,3,3,3,3,Yes,Relocation and personal,Spouse's job transfer required relocation.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00056,25,Male,Divorced,Operations,Operations Manager,Human Resources,1,Travel_Rarely,1,67076,11,14,8,5,1,2,5,No,2,4,3,4,2,3,3,Yes,Managerial and team conflict,Mentioned communication issues within the immediate team.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00057,38,Male,Single,R&D,Data Scientist,Marketing,3,Travel_Frequently,4,65034,23,20,6,5,0,7,5,No,0,2,4,3,4,3,3,Yes,Relocation and personal,Moving abroad for personal reasons.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00058,30,Male,Divorced,Human Resources,Recruiter,Business,2,Travel_Frequently,19,40023,12,12,1,0,0,0,1,No,1,4,2,3,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00059,31,Female,Divorced,Marketing,Marketing Manager,Other,3,Travel_Frequently,1,49492,12,16,7,3,3,1,2,No,1,3,4,3,3,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00060,32,Male,Divorced,Operations,Operations Executive,Computer Science,3,Travel_Rarely,2,68464,11,14,2,1,2,1,3,No,2,4,1,4,1,2,4,Yes,Relocation and personal,Moving abroad for personal reasons.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00061,38,Female,Single,Sales,Sales Executive,Human Resources,2,Travel_Rarely,9,105224,14,20,0,0,0,7,2,No,1,4,4,4,4,1,3,Yes,Compensation and Benefits,Cited lack of salary revision despite good performance.,Yes,Salary Hike,Yes,Action directly addressed the root cause of dissatisfaction
EMP00062,27,Female,Divorced,Marketing,Content Strategist,Life Sciences,1,Travel_Frequently,12,78525,15,10,3,2,2,4,2,No,2,2,4,4,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00063,30,Male,Married,Sales,Sales Representative,Marketing,4,Travel_Rarely,1,48661,13,12,5,2,3,7,0,No,2,1,3,1,1,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00064,28,Female,Married,R&D,Research Scientist,Life Sciences,3,Travel_Frequently,22,54178,14,10,1,0,1,3,4,No,1,4,1,3,3,2,3,Yes,Work-Life Balance,Cited excessive overtime affecting personal life.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00065,35,Male,Married,R&D,Laboratory Technician,Computer Science,5,Travel_Frequently,2,58432,16,17,0,0,0,2,2,Yes,2,2,3,4,4,2,3,Yes,Compensation and Benefits,Cited lack of salary revision despite good performance.,Yes,Salary Hike,Yes,Action directly addressed the root cause of dissatisfaction
EMP00066,32,Male,Single,Marketing,Marketing Executive,Marketing,4,Travel_Rarely,8,33438,11,17,13,4,2,7,3,No,1,3,4,2,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00067,29,Female,Married,Sales,Sales Representative,Technical Degree,3,Travel_Frequently,11,53400,11,11,0,0,0,0,3,Yes,0,3,3,4,1,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00068,35,Female,Single,R&D,Research Scientist,Other,2,Travel_Rarely,7,67522,13,17,2,0,1,5,3,Yes,2,3,4,3,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00069,40,Female,Married,R&D,ML Engineer,Technical Degree,2,Travel_Rarely,7,79612,16,22,0,0,0,5,1,Yes,1,3,3,1,1,3,3,Yes,Relocation and personal,Moving abroad for personal reasons.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00070,47,Female,Married,Sales,Sales Representative,Human Resources,1,Travel_Rarely,8,62632,17,29,4,3,0,3,2,No,1,3,2,4,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00071,43,Female,Divorced,Operations,Logistics Coordinator,Computer Science,5,Travel_Rarely,1,80210,11,25,2,0,0,5,1,No,1,3,4,2,4,2,3,Yes,Career Growth and Promotion,Pursuing an opportunity considered a step up.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00072,29,Male,Married,Human Resources,HR Executive,Marketing,5,Travel_Rarely,1,39866,12,11,1,0,1,3,3,No,2,3,4,2,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00073,57,Male,Divorced,Human Resources,HR Executive,Computer Science,3,Travel_Frequently,5,71642,11,39,2,1,0,6,5,No,1,3,2,3,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00074,28,Female,Divorced,Marketing,Content Strategist,Medical,4,Travel_Rarely,5,78959,12,10,1,0,1,4,4,No,0,2,3,3,3,2,4,No,,,NA,NA,NA,Employee did not resign
EMP00075,29,Female,Single,IT,System Analyst,Computer Science,1,Travel_Rarely,4,65623,11,16,14,8,0,4,2,No,0,3,3,3,2,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00076,20,Female,Married,IT,System Analyst,Medical,3,Travel_Rarely,7,57327,15,10,3,2,2,2,4,Yes,0,3,1,3,1,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00077,28,Male,Divorced,IT,IT Support,Human Resources,5,Travel_Rarely,3,70204,14,10,0,0,0,6,3,Yes,0,4,2,3,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00078,36,Female,Married,Human Resources,Recruiter,Computer Science,3,Travel_Frequently,16,76038,11,18,0,0,0,5,0,No,2,1,4,3,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00079,37,Male,Married,IT,System Analyst,Computer Science,2,Travel_Rarely,30,64102,18,19,7,5,1,4,1,No,2,4,4,4,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00080,30,Female,Divorced,IT,IT Support,Life Sciences,3,Travel_Rarely,8,88403,11,12,2,1,0,2,2,No,0,1,3,3,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00081,43,Female,Divorced,Human Resources,HR Executive,Business,4,Travel_Rarely,5,82350,11,25,2,1,2,6,2,No,2,1,3,4,4,4,4,No,,,NA,NA,NA,Employee did not resign
EMP00082,20,Male,Divorced,Finance,Accountant,Other,2,Travel_Rarely,1,56844,16,2,0,0,0,5,3,Yes,1,2,2,2,4,2,3,Yes,Managerial and team conflict,Mentioned communication issues within the immediate team.,No,Not Applicable,No,No retention conversation initiated before exit
EMP00083,28,Female,Divorced,Marketing,Marketing Executive,Business,1,Travel_Rarely,12,23090,11,10,0,0,0,4,2,No,1,3,4,3,4,1,3,Yes,Career Growth and Promotion,Accepted an offer from a more established company.,Yes,Promotion,Yes,Action directly addressed the root cause of dissatisfaction
EMP00084,25,Female,Single,Operations,Operations Executive,Technical Degree,2,Travel_Frequently,8,50815,11,14,6,5,0,1,0,No,2,3,3,2,4,2,4,No,,,NA,NA,NA,Employee did not resign
EMP00085,31,Male,Married,Sales,Sales Executive,Medical,4,Travel_Rarely,1,42194,18,13,0,0,0,1,2,No,1,3,3,3,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00086,45,Male,Divorced,Finance,Finance Manager,Computer Science,4,Travel_Rarely,7,81988,12,27,5,3,5,0,4,No,2,3,3,3,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00087,28,Male,Divorced,Finance,Financial Analyst,Life Sciences,1,Travel_Frequently,6,62519,11,10,4,1,1,4,3,No,0,3,4,3,3,3,3,Yes,Work-Life Balance,Reported burnout due to high workload over long periods.,Yes,Flexible Work,No,Offer came too late; decision was already final
EMP00088,23,Male,Single,Operations,Logistics Coordinator,Other,1,Travel_Rarely,13,57559,15,12,4,1,1,5,3,No,0,3,4,1,4,3,3,Yes,Job Dissatisfaction,Reported the day-to-day work was not fulfilling.,Yes,Manager Change,No,Action didn't address the actual root cause
EMP00089,36,Male,Married,IT,System Analyst,Marketing,4,Travel_Frequently,2,74384,11,18,3,1,0,5,2,Yes,1,3,3,2,3,3,3,Yes,Compensation and Benefits,Raised concerns about stagnant compensation over the years.,Yes,Salary Hike,Yes,Action directly addressed the root cause of dissatisfaction
EMP00090,22,Female,Married,Marketing,Marketing Manager,Computer Science,5,Travel_Frequently,1,60351,18,19,19,17,0,2,1,No,0,2,4,4,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00091,33,Female,Married,Finance,Financial Analyst,Human Resources,2,Travel_Frequently,7,64750,11,15,6,2,3,7,3,No,0,1,4,1,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00092,40,Female,Divorced,Operations,Operations Manager,Other,2,Travel_Rarely,1,62079,13,22,3,2,3,6,0,No,0,3,3,2,3,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00093,28,Male,Divorced,Human Resources,HR Manager,Human Resources,2,Travel_Rarely,2,54345,11,10,4,1,1,3,2,Yes,1,3,4,4,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00094,27,Female,Divorced,Human Resources,HR Manager,Medical,2,Travel_Frequently,4,52385,13,9,0,0,0,4,1,Yes,3,4,1,3,1,2,3,Yes,Career Growth and Promotion,Received an offer with better designation and pay.,Yes,Flexible Work,No,Action didn't address the actual root cause
EMP00095,25,Female,Divorced,R&D,Laboratory Technician,Marketing,2,Travel_Rarely,1,60319,16,9,3,1,3,0,0,No,2,3,4,3,1,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00096,23,Female,Married,Sales,Account Manager,Other,4,Travel_Rarely,4,98032,18,7,0,0,0,7,4,No,0,3,3,1,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00097,34,Female,Married,Sales,Sales Representative,Life Sciences,5,Travel_Frequently,5,59993,11,16,0,0,0,5,1,No,0,4,4,4,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00098,20,Male,Married,Finance,Accountant,Human Resources,4,Travel_Rarely,7,39443,11,9,2,1,2,2,3,Yes,3,3,4,3,1,3,4,No,,,NA,NA,NA,Employee did not resign
EMP00099,44,Male,Married,Operations,Logistics Coordinator,Technical Degree,3,Travel_Rarely,3,103583,11,26,5,4,2,1,2,No,2,3,4,2,2,2,4,No,,,NA,NA,NA,Employee did not resign
EMP00100,20,Male,Married,Finance,Accountant,Business,4,Non-Travel,8,75194,20,8,7,6,5,6,4,Yes,0,2,2,4,3,2,3,Yes,Career Growth and Promotion,Felt there was no clear promotion path in current role.,Yes,Salary Hike,No,Action didn't address the actual root cause
EMP00101,32,Female,Single,Marketing,Marketing Executive,Life Sciences,4,Travel_Rarely,7,78801,11,14,0,0,0,3,0,No,1,1,4,3,2,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00102,33,Male,Divorced,IT,Software Engineer,Computer Science,2,Travel_Rarely,8,85197,11,28,19,7,1,0,3,No,0,4,4,3,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00103,39,Male,Single,Operations,Logistics Coordinator,Human Resources,4,Travel_Rarely,16,84551,20,21,4,3,3,4,0,No,0,3,3,3,1,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00104,29,Female,Married,Human Resources,HR Executive,Business,4,Travel_Rarely,1,83153,11,11,3,1,2,3,4,Yes,2,2,3,3,2,1,3,Yes,Relocation and personal,Needed to relocate closer to family.,Yes,Salary Hike,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00105,40,Female,Single,Human Resources,HR Manager,Other,1,Travel_Frequently,10,73004,11,22,2,1,0,6,2,Yes,1,3,4,4,2,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00106,22,Male,Married,Marketing,Marketing Manager,Technical Degree,1,Non-Travel,1,26961,11,11,7,3,1,1,5,Yes,2,2,4,2,2,3,4,No,,,NA,NA,NA,Employee did not resign
EMP00107,30,Male,Single,Operations,Operations Manager,Technical Degree,2,Non-Travel,7,69838,14,12,6,3,1,1,3,Yes,0,1,2,1,4,3,3,Yes,Relocation and personal,Spouse's job transfer required relocation.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00108,34,Male,Single,Operations,Operations Executive,Marketing,4,Travel_Rarely,29,43476,11,16,1,0,1,0,1,No,2,2,2,4,3,1,3,No,,,NA,NA,NA,Employee did not resign
EMP00109,31,Male,Married,Marketing,Marketing Executive,Human Resources,3,Travel_Rarely,3,58786,15,13,5,3,0,7,4,No,3,2,4,1,2,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00110,37,Male,Married,R&D,Research Scientist,Medical,5,Travel_Rarely,1,80339,21,19,0,0,0,0,1,No,1,2,3,3,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00111,36,Female,Married,Sales,Sales Manager,Technical Degree,1,Travel_Frequently,8,38551,11,18,0,0,0,5,3,No,2,2,3,1,2,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00112,33,Male,Divorced,IT,System Analyst,Human Resources,5,Travel_Frequently,16,63580,11,15,0,0,0,6,5,No,1,3,1,1,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00113,29,Male,Married,Operations,Operations Executive,Computer Science,3,Travel_Rarely,1,89265,19,14,5,4,0,6,1,Yes,1,3,3,2,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00114,27,Male,Married,Sales,Sales Manager,Other,1,Travel_Rarely,1,45976,11,9,1,0,0,6,5,No,3,4,2,3,1,3,4,No,,,NA,NA,NA,Employee did not resign
EMP00115,35,Female,Divorced,Finance,Accountant,Marketing,4,Non-Travel,30,66009,11,17,4,2,0,3,0,No,2,2,1,4,3,2,4,No,,,NA,NA,NA,Employee did not resign
EMP00116,35,Female,Married,R&D,Data Scientist,Computer Science,5,Travel_Frequently,13,23319,11,17,0,0,0,1,3,No,0,2,2,2,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00117,45,Male,Single,Human Resources,HR Manager,Human Resources,4,Travel_Frequently,13,59908,12,27,4,2,0,7,0,Yes,0,3,1,2,4,1,3,No,,,NA,NA,NA,Employee did not resign
EMP00118,38,Female,Married,R&D,ML Engineer,Life Sciences,4,Travel_Rarely,3,99075,11,20,0,0,0,2,2,No,0,1,4,1,4,4,4,No,,,NA,NA,NA,Employee did not resign
EMP00119,22,Male,Married,Operations,Logistics Coordinator,Technical Degree,3,Travel_Rarely,1,51256,12,4,1,0,1,6,5,No,1,4,4,4,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00120,32,Female,Married,Operations,Logistics Coordinator,Human Resources,5,Travel_Rarely,1,78080,21,14,3,2,2,0,5,Yes,0,2,1,3,3,2,3,Yes,Relocation and personal,Needed to relocate closer to family.,No,Not Applicable,Yes,Employee stayed temporarily despite non-negotiable personal factor
EMP00121,40,Male,Single,Sales,Sales Representative,Computer Science,4,Travel_Rarely,2,104633,11,22,8,3,0,3,0,No,2,3,4,2,3,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00122,29,Female,Divorced,IT,System Analyst,Other,4,Travel_Rarely,4,52610,11,11,0,0,0,6,3,No,1,3,4,3,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00123,31,Male,Married,Operations,Operations Executive,Technical Degree,4,Non-Travel,5,48448,17,13,2,1,2,7,2,Yes,1,3,3,4,3,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00124,31,Female,Divorced,Marketing,Marketing Executive,Business,4,Travel_Rarely,15,56330,17,13,2,1,1,7,0,No,1,2,2,3,2,1,3,No,,,NA,NA,NA,Employee did not resign
EMP00125,34,Female,Divorced,IT,IT Support,Business,3,Travel_Rarely,3,85834,16,16,0,0,0,6,5,No,1,4,4,2,4,3,3,No,,,NA,NA,NA,Employee did not resign
